FACILTOTSCP,UPTAENM,X,Y,target,label
5.04,기타,202894.2962,445277.7231,0,0
5.05,기타 휴게음식점,,,1,1
5.06,일반조리판매,198150.3004,452019.2126,0,1
5.07,김밥(도시락),204170.2781,444036.656,1,0
5.1,편의점,190850.3934,442160.7487,1,1
5.1,일반조리판매,205931.0533,459884.1972,1,1
5.1,일반조리판매,198259.6536,451392.1982,1,1
5.1,기타 휴게음식점,191231.7164,438732.9944,1,1
5.1,일반조리판매,193279.5991,443230.4182,0,1
5.11,편의점,187339.5511,450382.1812,1,1
5.18,커피숍,197976.2747,441377.6856,1,1
5.2,한식,205127.1938,444435.9761,1,0
5.2,기타 휴게음식점,198055.2101,451729.379,0,1
5.2,백화점,202466.8011,456227.5717,0,1
5.2,푸드트럭,200806.1803,451624.0926,0,1
5.2,기타 휴게음식점,198263.9084,450960.763,0,1
5.25,커피숍,203172.4122,442476.415,0,1
5.29,아이스크림,194430.2354,445836.9936,1,1
5.29,백화점,202358.5057,447232.9557,1,1
5.3,한식,202731.4905,444365.587,1,0
5.3,분식,202731.4905,444365.587,1,0
5.3,기타 휴게음식점,200603.1969,451701.5505,1,1
5.3,백화점,191581.5003,446108.8072,0,1
5.3,백화점,189570.3609,444336.0513,0,1
5.3,기타 휴게음식점,210986.4607,441725.2935,0,1
5.3,아이스크림,204081.2821,453187.3952,0,1
5.31,커피숍,203292.307,446247.5115,1,1
5.31,커피숍,193553.7628,456789.2634,0,1
5.39,커피숍,210960.4135,448403.0197,1,1
5.4,기타,196920.3793,451448.6573,1,0
5.4,기타,198259.6536,451392.1982,0,0
5.4,기타,198263.9084,450960.763,0,0
5.4,기타,198259.6536,451392.1982,0,0
5.4,기타,198259.6536,451392.1982,0,0
5.4,기타,193592.0004,447092.6294,0,0
5.4,한식,202358.5057,447232.9557,0,0
5.4,백화점,202466.8011,456227.5717,0,1
5.4,기타 휴게음식점,202466.8011,456227.5717,0,1
5.4,기타 휴게음식점,202466.8011,456227.5717,0,1
5.4,백화점,210929.9197,448537.4067,0,1
5.44,기타 휴게음식점,198259.6536,451392.1982,0,1
5.44,백화점,198259.6536,451392.1982,0,1
5.49,기타,202481.0203,453455.864,1,0
5.49,커피숍,202159.2854,452509.3509,1,1
5.5,편의점,207582.7749,453883.1773,1,1
5.5,커피숍,203518.7633,446051.5798,1,1
5.5,백화점,188884.0756,447186.8886,0,1
5.5,편의점,187287.7721,444799.3003,1,1
5.5,편의점,190649.039,448224.1119,1,1
5.5,편의점,211145.7478,444366.8443,1,1
5.52,커피숍,198073.0636,450876.7294,0,1
5.59,커피숍,193241.1969,450137.7119,1,1
5.6,푸드트럭,194580.1594,452854.1716,0,1
5.6,푸드트럭,194580.1594,452854.1716,0,1
5.6,커피숍,187320.2042,450350.3291,1,1
5.6,패스트푸드,201040.3526,451852.1426,1,1
5.6,기타 휴게음식점,210454.6208,444560.9987,1,1
5.6,백화점,198263.9084,450960.763,0,1
5.61,커피숍,191856.2618,443459.3577,1,1
5.61,패스트푸드,198263.9084,450960.763,0,1
5.67,편의점,207157.1921,455262.3512,1,1
5.68,커피숍,199695.1148,444070.006,1,1
5.69,일반조리판매,199263.8038,451326.7212,1,1
5.7,일반조리판매,196839.6417,447863.232,1,1
5.7,기타 휴게음식점,200250.4478,444683.2205,0,1
5.72,일반조리판매,198263.9084,450960.763,0,1
5.8,한식,205127.1938,444435.9761,1,0
5.8,일식,193955.376,444899.4156,0,0
5.8,기타 휴게음식점,193558.1406,456609.4675,1,1
5.8,일반조리판매,202358.5057,447232.9557,0,1
5.8,기타 휴게음식점,198259.6536,451392.1982,1,1
5.82,기타,199759.7005,443888.6759,1,0
5.83,커피숍,201466.8791,452081.946,0,1
5.83,기타 휴게음식점,193631.2218,455504.096,1,1
5.85,기타,198263.9084,450960.763,0,0
5.86,중국식,200576.6086,445241.8984,1,0
5.88,커피숍,204058.5128,449418.1907,0,1
5.88,백화점,182524.8238,451438.2509,0,1
5.9,기타,198263.9084,450960.763,0,0
5.9,커피숍,203292.307,446247.5115,1,1
5.9,백화점,198263.9084,450960.763,0,1
5.9,기타 휴게음식점,198259.6536,451392.1982,0,1
5.94,기타 휴게음식점,206383.8294,446030.1281,1,1
5.94,기타 휴게음식점,202466.8011,456227.5717,1,1
5.95,분식,197028.7851,451351.9621,1,0
5.95,한식,198259.6536,451392.1982,0,0
5.95,백화점,188884.0756,447186.8886,0,1
5.95,기타 휴게음식점,204413.6166,461378.5887,0,1
5.99,편의점,206889.2932,454516.4222,1,1
6,기타,201641.7178,457438.8691,1,0
6,한식,193318.2183,450421.7284,1,0
6,기타,191833.6576,445702.5911,0,0
6,일식,196531.1747,444978.1863,1,0
6,한식,193540.9469,442196.1957,1,0
6,기타,205340.6311,445354.5711,0,0
6,호프/통닭,201683.2425,451271.1722,1,0
6,분식,205510.4768,448246.5983,1,0
6,기타,195810.9385,450485.2586,1,0
6,한식,196900.5036,441392.582,1,0
6,한식,198073.0636,450876.7294,1,0
6,기타,192257.9566,448078.5324,1,0
6,호프/통닭,190716.3586,448699.9725,1,0
6,정종/대포집/소주방,195537.2695,442122.2022,1,0
6,"외국음식전문점(인도,태국등)",203768.8966,445394.5659,1,0
6,기타,198263.9084,450960.763,0,0
6,기타,198263.9084,450960.763,0,0
6,기타,200250.4478,444683.2205,0,0
6,한식,203211.8592,444523.6939,0,0
6,한식,208589.3633,445455.9041,0,0
6,기타,198253.896,450905.2845,0,0
6,기타,198253.896,450905.2845,0,0
6,기타,198253.896,450905.2845,0,0
6,기타,197500.3661,453001.6131,0,0
6,기타,201495.7587,454179.056,0,0
6,분식,195251.2304,448634.7563,0,0
6,기타,191385.0574,446098.5559,0,0
6,기타,191162.9275,444059.5091,0,0
6,기타,190587.5679,448642.1124,0,0
6,기타,190587.5679,448642.1124,0,0
6,한식,200250.4478,444683.2205,0,0
6,일식,209313.6807,444266.7414,0,0
6,한식,212533.0388,449370.5687,0,0
6,편의점,203013.9463,453986.8926,1,1
6,편의점,207468.3308,452559.0698,1,1
6,편의점,208428.8068,456248.4209,1,1
6,편의점,202250.4868,457856.4174,1,1
6,기타 휴게음식점,200885.3209,460378.1763,1,1
6,편의점,200840.4283,452076.902,1,1
6,기타 휴게음식점,201396.86,458732.6256,1,1
6,기타 휴게음식점,202679.0475,456878.7507,1,1
6,커피숍,201868.2518,452890.7325,1,1
6,백화점,198259.6536,451392.1982,1,1
6,아이스크림,200613.5103,451817.5154,0,1
6,기타 휴게음식점,198055.2101,451729.379,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,푸드트럭,200806.1803,451624.0926,0,1
6,편의점,202563.9642,451299.5305,0,1
6,커피숍,202606.8265,450980.5099,1,1
6,일반조리판매,201708.1441,450225.6244,1,1
6,편의점,205284.2904,450979.2135,1,1
6,편의점,201157.8773,449563.28,1,1
6,기타 휴게음식점,207732.8112,450547.4421,1,1
6,일반조리판매,208232.9927,448688.3292,1,1
6,편의점,204855.5572,464199.0484,1,1
6,커피숍,206367.6327,462363.4482,1,1
6,기타 휴게음식점,206485.0486,461993.0901,1,1
6,커피숍,194002.7017,456937.5425,1,1
6,커피숍,191653.7393,450339.9601,1,1
6,편의점,190019.5721,444423.9991,1,1
6,편의점,186254.7036,444429.8905,1,1
6,편의점,187827.6282,445053.0848,0,1
6,편의점,190649.039,448224.1119,0,1
6,커피숍,191833.6576,445702.5911,0,1
6,편의점,191306.8936,444972.5603,1,1
6,편의점,190996.3573,445841.3776,1,1
6,편의점,191928.3458,446746.3544,1,1
6,일반조리판매,193542.3175,444054.9242,1,1
6,편의점,198513.3308,442267.3261,1,1
6,편의점,199050.7002,441491.6308,1,1
6,편의점,203566.537,441241.5283,1,1
6,편의점,204256.0692,441106.0364,1,1
6,편의점,200382.6777,441721.2782,1,1
6,편의점,199656.5507,442349.8374,1,1
6,편의점,202319.1389,442756.0385,1,1
6,커피숍,201648.514,445084.6275,1,1
6,패스트푸드,200250.4478,444683.2205,0,1
6,기타 휴게음식점,203392.7935,440676.3799,1,1
6,기타 휴게음식점,203365.3022,441951.3092,0,1
6,푸드트럭,199512.0554,445283.168,0,1
6,백화점,200250.4478,444683.2205,0,1
6,백화점,202358.5057,447232.9557,0,1
6,편의점,203580.6285,444311.673,1,1
6,백화점,202358.5057,447232.9557,0,1
6,기타 휴게음식점,205210.3588,445154.4223,0,1
6,일반조리판매,205130.5917,445590.0968,0,1
6,일반조리판매,202358.5057,447232.9557,0,1
6,커피숍,202358.5057,447232.9557,0,1
6,편의점,203651.1549,445022.2806,1,1
6,커피숍,205130.5917,445590.0968,0,1
6,백화점,204669.5434,443873.6212,1,1
6,커피숍,204426.1763,447005.0963,1,1
6,백화점,202358.5057,447232.9557,1,1
6,기타 휴게음식점,212614.7666,443879.4791,1,1
6,백화점,210929.9197,448537.4067,0,1
6,편의점,204469.209,454934.0474,1,1
6,편의점,207214.8834,454330.6785,1,1
6,편의점,207554.957,453143.9831,1,1
6,커피숍,198545.2224,451854.8209,1,1
6,일반조리판매,200121.175,452136.1667,1,1
6,편의점,203164.5866,463030.3098,1,1
6,커피숍,198007.3129,451837.1803,1,1
6,편의점,201162.4821,451908.3576,1,1
6,커피숍,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198259.6536,451392.1982,1,1
6,기타 휴게음식점,197011.7375,447430.1003,1,1
6,편의점,197107.8404,450290.4427,0,1
6,커피숍,205543.4321,461621.973,1,1
6,기타 휴게음식점,204875.0468,463829.1098,1,1
6,편의점,204561.9348,457854.9404,1,1
6,기타 휴게음식점,205530.7276,461528,1,1
6,일반조리판매,192533.4195,451431.7917,1,1
6,편의점,192509.4096,450587.2197,1,1
6,일반조리판매,192548.2927,449643.3377,1,1
6,기타 휴게음식점,188884.0756,447186.8886,0,1
6,백화점,190107.0454,445157.6264,1,1
6,편의점,187735.4952,443923.5566,1,1
6,편의점,190544.9564,445806.7419,0,1
6,일반조리판매,191833.6576,445702.5911,0,1
6,편의점,192967.3515,447481.3642,1,1
6,백화점,191581.5003,446108.8072,1,1
6,편의점,191100.815,447841.495,1,1
6,편의점,191113.044,445335.2831,1,1
6,일반조리판매,193574.6577,443773.386,1,1
6,일반조리판매,193615.5067,443879.0985,1,1
6,편의점,197764.7874,442127.2031,1,1
6,편의점,195511.2635,441910.4027,1,1
6,편의점,192459.625,442538.0113,1,1
6,편의점,195577.0948,442582.2364,1,1
6,편의점,195418.0704,442223.9325,1,1
6,편의점,194152.3129,440870.6995,1,1
6,기타 휴게음식점,203392.7935,440676.3799,1,1
6,편의점,198824.37,443011.4716,1,1
6,아이스크림,200250.4478,444683.2205,0,1
6,일반조리판매,203392.7935,440676.3799,0,1
6,편의점,209393.5032,441084.3712,1,1
6,백화점,202358.5057,447232.9557,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,백화점,204669.5434,443873.6212,1,1
6,기타 휴게음식점,202358.5057,447232.9557,0,1
6,패스트푸드,202358.5057,447232.9557,1,1
6,기타 휴게음식점,211797.6707,444929.0529,1,1
6,기타 휴게음식점,208135.6613,444667.1239,1,1
6,기타 휴게음식점,209109.7968,444917.1615,1,1
6,기타 휴게음식점,210986.4607,441725.2935,0,1
6,기타 휴게음식점,209035.8756,445898.6434,1,1
6,편의점,212799.3871,448304.8489,1,1
6,기타 휴게음식점,210929.9197,448537.4067,0,1
6,백화점,210929.9197,448537.4067,0,1
6,커피숍,,,1,1
6,커피숍,198743.1668,453082.5749,1,1
6,편의점,202096.9651,458482.6617,1,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,편의점,198549.3391,450918.5656,1,1
6,아이스크림,203396.3964,450971.2429,1,1
6,편의점,205349.7671,449243.2712,1,1
6,편의점,205404.0669,448652.472,1,1
6,커피숍,204051.0655,449431.1048,1,1
6,기타 휴게음식점,192702.5788,459703.9728,1,1
6,편의점,192270.4572,457339.8065,1,1
6,커피숍,192948.7513,449633.552,1,1
6,일반조리판매,195808.9045,448910.7413,0,1
6,편의점,196549.9073,449902.9412,1,1
6,일반조리판매,182524.8238,451438.2509,0,1
6,커피숍,185617.4979,449153.638,1,1
6,일반조리판매,185686.6347,447469.886,0,1
6,편의점,186226.9578,443859.5872,1,1
6,일반조리판매,186905.5016,443011.1281,0,1
6,백화점,190107.0454,445157.6264,0,1
6,기타 휴게음식점,191182.6852,439172.0741,1,1
6,편의점,191351.1411,441852.6105,1,1
6,편의점,196257.8337,443341.3794,1,1
6,편의점,194867.5338,442268.3548,1,1
6,커피숍,196257.8337,443341.3794,1,1
6,떡카페,193301.8858,443151.5613,1,1
6,백화점,200250.4478,444683.2205,1,1
6,백화점,200250.4478,444683.2205,1,1
6,백화점,200250.4478,444683.2205,0,1
6,커피숍,203392.7935,440676.3799,0,1
6,커피숍,203392.7935,440676.3799,0,1
6,커피숍,203392.7935,440676.3799,0,1
6,일반조리판매,200250.4478,444683.2205,0,1
6,커피숍,203392.7935,440676.3799,0,1
6,기타 휴게음식점,203392.7935,440676.3799,0,1
6,백화점,205210.3588,445154.4223,0,1
6,편의점,204181.8232,444950.7286,1,1
6,커피숍,205130.5917,445590.0968,0,1
6,편의점,201920.8928,446392.5044,1,1
6,커피숍,205130.5917,445590.0968,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,백화점,202358.5057,447232.9557,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,백화점,202358.5057,447232.9557,0,1
6,백화점,205210.3588,445154.4223,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,백화점,202358.5057,447232.9557,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,편의점,202946.8934,444039.4473,1,1
6,푸드트럭,205130.5917,445590.0968,1,1
6,일반조리판매,204626.1664,443947.4023,1,1
6,편의점,204275.3876,447012.0298,1,1
6,기타 휴게음식점,211285.6308,442422.466,1,1
6,기타 휴게음식점,211173.3484,445135.1556,0,1
6,편의점,211506.2861,448387.5186,1,1
6,푸드트럭,213853.436,449876.646,0,1
6,편의점,204657.1534,454465.1398,1,1
6,편의점,205204.5514,451716.6117,1,1
6,편의점,206136.4121,451780.5608,1,1
6,기타 휴게음식점,204476.5761,454402.8786,1,1
6,커피숍,208436.2089,455133.4297,1,1
6,편의점,207970.1011,453462.8402,1,1
6,기타 휴게음식점,202466.8011,456227.5717,0,1
6,편의점,203933.1272,462597.931,1,1
6,편의점,200748.0086,450276.6935,1,1
6,기타 휴게음식점,203725.6027,451428.9575,0,1
6,일반조리판매,205800.1862,448390.0885,1,1
6,편의점,193955.6536,451451.8034,1,1
6,기타 휴게음식점,192402.4686,449701.625,1,1
6,기타 휴게음식점,188884.0756,447186.8886,0,1
6,편의점,189670.6548,443086.6971,1,1
6,기타 휴게음식점,189967.513,442304.5026,1,1
6,편의점,186304.1652,443534.3683,1,1
6,키즈카페,197996.3818,442918.6646,1,1
6,일반조리판매,202553.8864,442638.7898,1,1
6,기타 휴게음식점,203392.7935,440676.3799,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,패스트푸드,202358.5057,447232.9557,0,1
6,기타 휴게음식점,206279.2066,443733.8027,0,1
6,백화점,202358.5057,447232.9557,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,커피숍,205130.5917,445590.0968,0,1
6,일반조리판매,206279.2066,443733.8027,0,1
6,일반조리판매,206279.2066,443733.8027,0,1
6,백화점,203470.8484,447369.5799,0,1
6,아이스크림,205130.5917,445590.0968,0,1
6,기타 휴게음식점,203470.8484,447369.5799,0,1
6,떡카페,205210.3588,445154.4223,0,1
6,편의점,204379.015,445712.725,1,1
6,커피숍,204058.5182,445553.1688,1,1
6,기타 휴게음식점,207358.6926,444479.2446,1,1
6,편의점,208564.1692,444841.5775,1,1
6,편의점,209563.3959,445948.7562,1,1
6,푸드트럭,208580.4096,456742.9475,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,일반조리판매,193301.8858,443151.5613,0,1
6,일반조리판매,193301.8858,443151.5613,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198253.896,450905.2845,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,200806.1803,451624.0926,0,1
6,백화점,198263.9084,450960.763,0,1
6,백화점,198263.9084,450960.763,0,1
6,백화점,198263.9084,450960.763,0,1
6,백화점,198263.9084,450960.763,0,1
6,편의점,190995.509,446851.2236,0,1
6,커피숍,203392.7935,440676.3799,0,1
6,백화점,200250.4478,444683.2205,0,1
6,일반조리판매,203392.7935,440676.3799,0,1
6,커피숍,206279.2066,443733.8027,0,1
6,일반조리판매,208963.1804,444179.9807,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,백화점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,백화점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198253.896,450905.2845,0,1
6,기타 휴게음식점,198259.6536,451392.1982,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,기타 휴게음식점,198263.9084,450960.763,0,1
6,커피숍,198259.6536,451392.1982,0,1
6,패스트푸드,196762.0774,447480.0396,0,1
6,백화점,206217.4347,448506.2187,0,1
6,백화점,206217.4347,448506.2187,0,1
6,기타 휴게음식점,206217.4347,448506.2187,0,1
6,기타 휴게음식점,191385.0574,446098.5559,0,1
6,기타 휴게음식점,191581.5003,446108.8072,0,1
6,기타 휴게음식점,192595.1554,445705.3961,0,1
6,기타 휴게음식점,191385.0574,446098.5559,0,1
6,커피숍,196653.9089,441720.4284,0,1
6,편의점,203208.5136,441571.0476,0,1
6,일반조리판매,200250.4478,444683.2205,0,1
6,편의점,203553.89,446266.1491,0,1
6,편의점,209385.9528,441073.8527,0,1
6.02,커피숍,203151.0893,442631.6354,1,1
6.05,한식,204213.6432,444113.0282,0,0
6.08,한식,196218.2835,442713.8872,1,0
6.1,커피숍,202358.5057,447232.9557,1,1
6.12,커피숍,190759.6816,446740.2513,0,1
6.12,커피숍,200764.42,452037.7381,1,1
6.17,기타 휴게음식점,185292.8475,446569.7764,1,1
6.19,한식,186594.2656,449819.1839,0,0
6.19,한식,186594.2656,449819.1839,0,0
6.19,커피숍,197286.3299,442662.1934,1,1
6.2,한식,203288.5583,442465.2677,1,0
6.2,기타,209074.9008,445657.8093,0,0
6.2,기타,209074.9008,445657.8093,0,0
6.2,일반조리판매,206671.9092,457778.1646,0,1
6.25,일반조리판매,202845.4256,459046.9656,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,패스트푸드,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,패스트푸드,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,일반조리판매,199361.7512,445320.89,0,1
6.25,일반조리판매,199361.7512,445320.89,0,1
6.25,일반조리판매,199361.7512,445320.89,0,1
6.25,일반조리판매,199361.7512,445320.89,0,1
6.25,일반조리판매,199361.7512,445320.89,1,1
6.25,편의점,201782.5471,453538.1289,1,1
6.3,분식,209074.9008,445657.8093,0,0
6.3,기타,209074.9008,445657.8093,0,0
6.3,아이스크림,199020.2091,452376.1955,1,1
6.3,일반조리판매,198310.4685,442453.1146,1,1
6.3,패스트푸드,198263.9084,450960.763,0,1
6.3,기타 휴게음식점,191065.2877,439518.9278,1,1
6.3,기타 휴게음식점,198263.9084,450960.763,1,1
6.3,커피숍,183215.2439,451340.6428,0,1
6.3,기타 휴게음식점,200250.4478,444683.2205,0,1
6.33,한식,205209.7471,443490.8173,1,0
6.34,커피숍,195013.0264,448230.1522,1,1
6.35,기타 휴게음식점,201754.0461,442005.5763,1,1
6.37,기타,200250.4478,444683.2205,0,0
6.37,기타,197465.2239,452366.6139,0,0
6.38,기타 휴게음식점,198263.9084,450960.763,0,1
6.4,한식,196123.894,441833.9427,1,0
6.4,푸드트럭,205130.5917,445590.0968,0,1
6.4,푸드트럭,202825.7123,459909.5153,0,1
6.4,백화점,198263.9084,450960.763,0,1
6.4,백화점,191581.5003,446108.8072,0,1
6.44,커피숍,193230.8489,444019.0636,1,1
6.44,편의점,203727.5412,451575.0161,1,1
6.44,일반조리판매,206217.4347,448506.2187,0,1
6.45,커피숍,200550.4318,451746.4498,1,1
6.46,한식,197824.2602,449661.1962,1,0
6.46,분식,186379.9592,447815.589,1,0
6.48,커피숍,197947.2219,449587.4035,1,1
6.48,커피숍,213493.9072,450038.8473,1,1
6.49,기타 휴게음식점,194601.9861,450739.7946,1,1
6.5,경양식,202894.2962,445277.7231,0,0
6.5,한식,193758.9474,442999.7445,0,0
6.5,백화점,200613.5103,451817.5154,1,1
6.5,백화점,200613.5103,451817.5154,1,1
6.5,기타 휴게음식점,202699.8115,459338.4814,0,1
6.5,기타 휴게음식점,209351.7079,445311.717,1,1
6.5,일반조리판매,200613.5103,451817.5154,0,1
6.5,기타 휴게음식점,200250.4478,444683.2205,1,1
6.5,백화점,200250.4478,444683.2205,0,1
6.5,전통찻집,194435.9267,450235.1149,0,1
6.5,기타 휴게음식점,198259.6536,451392.1982,0,1
6.51,기타 휴게음식점,201610.4925,457520.5432,1,1
6.53,기타 휴게음식점,207373.5002,445545.656,0,1
6.56,기타,202133.081,458263.0982,0,0
6.58,한식,197662.5039,452189.0924,1,0
6.59,한식,209790.9599,443481.2122,1,0
6.6,분식,198380.6413,451105.0331,1,0
6.6,한식,197111.4117,450818.3203,1,0
6.6,기타,197483.8803,449240.3667,1,0
6.6,한식,198600.2977,451907.6735,1,0
6.6,분식,203414.8531,450833.4701,1,0
6.6,호프/통닭,205364.0046,454882.9946,1,0
6.6,기타,193034.6487,457440.5058,1,0
6.6,기타,194895.6694,448632.1933,1,0
6.6,기타,193260.6258,450164.6415,1,0
6.6,기타,202299.869,444265.2602,1,0
6.6,기타,203470.8484,447369.5799,0,0
6.6,기타,203889.0126,446280.5584,1,0
6.6,기타,211999.8065,447685.3567,1,0
6.6,경양식,197237.3064,452211.8036,0,0
6.6,횟집,201656.2934,451303.5956,1,0
6.6,기타,198263.9084,450960.763,1,0
6.6,기타,203015.2602,450901.325,1,0
6.6,한식,193034.6487,457440.5058,1,0
6.6,한식,193034.6487,457440.5058,1,0
6.6,한식,194265.0676,450433.691,0,0
6.6,한식,195810.0795,449173.776,1,0
6.6,한식,190980.2456,439196.5537,1,0
6.6,호프/통닭,191835.5203,443321.8537,1,0
6.6,"외국음식전문점(인도,태국등)",192875.2293,447481.6991,0,0
6.6,"외국음식전문점(인도,태국등)",192875.2293,447481.6991,0,0
6.6,한식,203147.0873,446112.4034,0,0
6.6,한식,209790.9599,443481.2122,1,0
6.6,한식,209790.9599,443481.2122,1,0
6.6,한식,212276.4014,448401.7779,1,0
6.6,기타,199644.7525,446643.8148,1,0
6.6,한식,206481.0627,449832.3234,0,0
6.6,한식,207818.0106,453117.1664,1,0
6.6,한식,206415.5451,461546.0323,1,0
6.6,기타,190107.0454,445157.6264,0,0
6.6,키즈카페,193273.484,445011.2501,1,0
6.6,한식,202358.5057,447232.9557,0,0
6.6,한식,209790.9599,443481.2122,1,0
6.6,중국식,208589.3633,445455.9041,0,0
6.6,분식,208589.3633,445455.9041,0,0
6.6,분식,199601.6441,450713.6183,1,0
6.6,기타,195804.5637,449216.3113,1,0
6.6,한식,187246.2876,448058.9012,1,0
6.6,분식,190866.6494,444141.0524,1,0
6.6,호프/통닭,191981.6177,442286.3752,1,0
6.6,경양식,202894.2962,445277.7231,0,0
6.6,한식,212172.8285,448321.3302,1,0
6.6,기타,198263.9084,450960.763,0,0
6.6,기타,198263.9084,450960.763,0,0
6.6,기타,202466.8011,456227.5717,0,0
6.6,분식,193592.0004,447092.6294,0,0
6.6,한식,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,190783.387,445728.2955,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,패밀리레스트랑,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,한식,193592.0004,447092.6294,0,0
6.6,기타,198263.9084,450960.763,0,0
6.6,기타,205357.8071,419119.0197,0,0
6.6,기타,198263.9084,450960.763,0,0
6.6,기타,198259.6536,451392.1982,0,0
6.6,기타,198263.9084,450960.763,0,0
6.6,기타,198263.9084,450960.763,0,0
6.6,기타,196762.0774,447480.0396,0,0
6.6,기타,206701.1484,456374.5104,0,0
6.6,기타,192694.9237,459461.2361,0,0
6.6,기타,192694.9237,459461.2361,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,한식,191385.0574,446098.5559,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,191207.8287,445969.2911,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,경양식,193326.931,446973.9146,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,"외국음식전문점(인도,태국등)",191385.0574,446098.5559,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,분식,191581.5003,446108.8072,0,0
6.6,한식,190630.3456,444661.7947,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,191385.0574,446098.5559,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,한식,190859.6954,444944.0296,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,191385.0574,446098.5559,0,0
6.6,한식,191741.3458,445970.3076,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,191581.5003,446108.8072,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
6.6,기타,193592.0004,447092.6294,0,0
